"filename", "language", "JavaScript", "Vue", "PostCSS", "HTML", "XML", "Markdown", "JSON", "comment", "blank", "total"
"d:\projects\classroomReservationSystem\crs-frontend\src\components\Layout.vue", "Vue", 0, 72, 0, 0, 0, 0, 0, 5, 13, 90
"d:\projects\classroomReservationSystem\crs-frontend\src\components\NavBar.vue", "Vue", 0, 285, 0, 0, 0, 0, 0, 13, 37, 335
"d:\projects\classroomReservationSystem\crs-frontend\src\main.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\projects\classroomReservationSystem\crs-frontend\src\routes\index.js", "JavaScript", 221, 0, 0, 0, 0, 0, 0, 36, 8, 265
"d:\projects\classroomReservationSystem\crs-frontend\src\stores\pinia.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 3, 7
"d:\projects\classroomReservationSystem\crs-frontend\src\stores\userStore.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 5, 2, 63
"d:\projects\classroomReservationSystem\crs-frontend\src\style.css", "PostCSS", 0, 0, 272, 0, 0, 0, 0, 30, 45, 347
"d:\projects\classroomReservationSystem\crs-frontend\src\utils\request.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 4, 4, 30
"d:\projects\classroomReservationSystem\crs-frontend\src\views\Login.vue", "Vue", 0, 620, 0, 0, 0, 0, 0, 49, 106, 775
"d:\projects\classroomReservationSystem\crs-frontend\src\views\Placeholder.vue", "Vue", 0, 31, 0, 0, 0, 0, 0, 4, 6, 41
"d:\projects\classroomReservationSystem\crs-frontend\src\views\Test.vue", "Vue", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\projects\classroomReservationSystem\crs-frontend\src\views\admin\Admin.vue", "Vue", 0, 186, 0, 0, 0, 0, 0, 25, 29, 240
"d:\projects\classroomReservationSystem\crs-frontend\src\views\admin\AdminProfile.vue", "Vue", 0, 109, 0, 0, 0, 0, 0, 18, 12, 139
"d:\projects\classroomReservationSystem\crs-frontend\src\views\admin\ClassroomList.vue", "Vue", 0, 293, 0, 0, 0, 0, 0, 11, 30, 334
"d:\projects\classroomReservationSystem\crs-frontend\src\views\admin\ClassroomTypeList.vue", "Vue", 0, 204, 0, 0, 0, 0, 0, 18, 31, 253
"d:\projects\classroomReservationSystem\crs-frontend\src\views\admin\CourseScheduleList.vue", "Vue", 0, 414, 0, 0, 0, 0, 0, 17, 56, 487
"d:\projects\classroomReservationSystem\crs-frontend\src\views\admin\NoticeList.vue", "Vue", 0, 290, 0, 0, 0, 0, 0, 5, 35, 330
"d:\projects\classroomReservationSystem\crs-frontend\src\views\admin\StudentList.vue", "Vue", 0, 292, 0, 0, 0, 0, 0, 25, 33, 350
"d:\projects\classroomReservationSystem\crs-frontend\src\views\admin\TeacherList.vue", "Vue", 0, 292, 0, 0, 0, 0, 0, 24, 33, 349
"d:\projects\classroomReservationSystem\crs-frontend\src\views\teacher\Approval.vue", "Vue", 0, 472, 0, 0, 0, 0, 0, 30, 77, 579
"d:\projects\classroomReservationSystem\crs-frontend\src\views\teacher\ApprovalDetail.vue", "Vue", 0, 182, 0, 0, 0, 0, 0, 12, 28, 222
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\Classroom.vue", "Vue", 0, 266, 0, 0, 0, 0, 0, 25, 45, 336
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\ClassroomDetail.vue", "Vue", 0, 857, 0, 0, 0, 0, 0, 102, 135, 1094
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\Home.vue", "Vue", 0, 853, 0, 0, 0, 0, 0, 188, 148, 1189
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\MessageCenter.vue", "Vue", 0, 369, 0, 0, 0, 0, 0, 10, 54, 433
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\MessageDetail.vue", "Vue", 0, 192, 0, 0, 0, 0, 0, 2, 30, 224
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\MyReservations.vue", "Vue", 0, 494, 0, 0, 0, 0, 0, 35, 84, 613
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\NoticeDetail.vue", "Vue", 0, 149, 0, 0, 0, 0, 0, 4, 26, 179
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\NoticeList.vue", "Vue", 0, 270, 0, 0, 0, 0, 0, 7, 43, 320
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\Profile.vue", "Vue", 0, 920, 0, 0, 0, 0, 0, 60, 139, 1119
"d:\projects\classroomReservationSystem\crs-frontend\src\views\user\Reservation.vue", "Vue", 0, 428, 0, 0, 0, 0, 0, 49, 69, 546
"d:\projects\classroomReservationSystem\crs-frontend\vite.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 8, 2, 29
"Total", "-", 3158, 9698, 343, 14, 2, 3, 5463, 1296, 2020, 21997
